#ACCT_POID, BILLINFO_POI
3649626387,3649627827
3649629843,3649629555
3649627795,3649626163
3649629331,3649627859
3649626651,3649629723
3649629979,3649627291
3649626331,3649629403
3649626823,3649629895
3649630151,3649627175
3649629543,3649628007
3649627027,3649628211
3649629587,3649628723
3649630099,3649627315
3649629659,3649628123
3649627707,3649628475
3649628347,3649626811
3649627067,3649630139
3649627539,3649627955
3649627283,3649626579
3649627819,3649627243
3649628011,3649628395
3649628651,3649627115
3649627547,3649629083
3649628763,3649626459
3649629319,3649627783
3649628839,3649626535
3649626215,3649629287
3649629179,3649626119
3649628039,3649628231
3649628487,3649626951
3649628183,3649626647
3649628435,3649628627
3649629459,3649629875
3649627339,3649629643
3649629819,3649627515
3649627431,3649628967
3649627879,3649628647
